id cx cy cz
267 0.899591 0.0568869 0
268 0.0996533 0.885778 0
269 0.124731 0.899856 0
270 0.0287327 0.300197 0
271 0.525 0.898964 0
272 0.475 0.898964 0
273 0.899408 0.0284181 0
274 0.501969 0.0589406 0
275 0.375 0.985566 0
276 0.150103 0.971357 0
277 0.699999 0.451517 0
278 0.925961 0.0695689 0
279 0.675 0.581421 0
280 0.87648 0.07112 0
281 0.200524 0.508999 0
282 0.877945 0.0995619 0
283 0.724999 0.725758 0
284 0.625 0.37935 0
285 0.941309 0.748263 0
286 0.124882 0.928834 0
287 0.375 0.754626 0
288 0.987861 0.674367 0
289 0.175026 0.985581 0
290 0.324994 0.841225 0
291 0.926553 0.0988859 0
292 0.974099 0.699128 0
293 0.549806 0.0577431 0
294 0.971693 0.749487 0
295 0.649166 0.0284191 0
296 0.5 0.942265 0
297 0.65 0.364917 0
298 0.699998 0.364917 0
299 0.675 0.0144338 0
300 0.985455 0.774725 0
301 0.6 0.364916 0
302 0.984049 0.826479 0
303 0.874863 0.929021 0
304 0.525 0.841229 0
305 0.249966 0.76904 0
306 0.0137614 0.0751141 0
307 0.031919 0.450304 0
308 0.225004 0.985569 0
309 0.274977 0.841216 0
310 0.299989 0.855657 0
311 0.65 0.595855 0
312 0.525962 0.0729689 0
313 0.275016 0.206183 0
314 0.225019 0.408213 0
315 0.150104 0.423071 0
316 0.0304418 0.151955 0
317 0.174683 0.408394 0
318 0.12709 0.46595 0
319 0.774831 0.812426 0
320 0.150764 0.451703 0
321 0.699998 0.336051 0
322 0.74994 0.855699 0
323 0.749959 0.884563 0
324 0.90313 0.144291 0
325 0.425 0.898964 0
326 0.675 0.37935 0
327 0.55 0.336048 0
328 0.924408 0.0139843 0
329 0.125077 0.985776 0
330 0.274991 0.754621 0
331 0.4 0.797927 0
332 0.25005 0.191786 0
333 0.774848 0.841351 0
334 0.749937 0.769028 0
335 0.850667 0.0284038 0
336 0.35 0.53812 0
337 0.0279028 0.201406 0
338 0.4 0.76906 0
339 0.35 0.509252 0
340 0.550081 0.028874 0
341 0.22505 0.148726 0
342 0.324109 0.149628 0
343 0.174604 0.754287 0
344 0.374999 0.812361 0
345 0.45 0.509252 0
346 0.699992 0.855662 0
347 0.851965 0.0566212 0
348 0.0164811 0.125943 0
349 0.0139607 0.176012 0
350 0.45 0.88453 0
351 0.0146476 0.275197 0
352 0.25137 0.104559 0
353 0.425 0.927831 0
354 0.325 0.494819 0
355 0.425 0.494819 0
356 0.55 0.364915 0
357 0.250049 0.162973 0
358 0.375 0.494819 0
359 0.0139421 0.225394 0
360 0.174678 0.725445 0
361 0.0740292 0.27616 0
362 0.724967 0.841237 0
363 0.275002 0.552553 0
364 0.174691 0.379531 0
365 0.875 0.0144338 0
366 0.624166 0.0139853 0
367 0.825667 0.01397 0
368 0.300001 0.53812 0
369 0.299998 0.711324 0
370 0.300001 0.249446 0
371 0.300001 0.509253 0
372 0.675 0.32162 0
373 0.225017 0.119122 0
374 0.625 0.321619 0
375 0.0149637 0.424438 0
376 0.986238 0.724761 0
377 0.324999 0.725758 0
378 0.175439 0.465865 0
379 0.824896 0.928245 0
380 0.799661 0.797961 0
381 0.122732 0.638017 0
382 0.224996 0.639152 0
383 0.324999 0.754625 0
384 0.724988 0.321623 0
385 0.675 0.552554 0
386 0.20007 0.624675 0
387 0.4 0.509252 0
388 0.299991 0.769055 0
389 0.65 0.509252 0
390 0.625 0.552554 0
391 0.901647 0.114646 0
392 0.45 0.53812 0
393 0.575 0.408216 0
394 0.200231 0.59571 0
395 0.649998 0.855662 0
396 0.65 0.53812 0
397 0.574918 0.0143694 0
398 0.25004 0.538104 0
399 0.7 0.595855 0
400 0.724986 0.754623 0
401 0.724989 0.292756 0
402 0.724996 0.379351 0
403 0.700422 0.162442 0
404 0.225194 0.552437 0
405 0.69998 0.797925 0
406 0.65 0.336052 0
407 0.571276 0.100721 0
408 0.325 0.465951 0
409 0.774915 0.754577 0
410 0.797836 0.250145 0
411 0.250004 0.595852 0
412 0.674993 0.841229 0
413 0.325 0.552554 0
414 0.150225 0.624143 0
415 0.749977 0.336062 0
416 0.17584 0.580834 0
417 0.325001 0.321615 0
418 0.724955 0.812367 0
